time,open,high,low,close,Volume
2024-05-20T06:30:00-07:00,189.33,190.07,189.02,189.73,210023
2024-05-20T06:35:00-07:00,189.71,190.17,189.43,190.07,113240
2024-05-20T06:40:00-07:00,190.06,190.08,189.81,190.06,77944
2024-05-20T06:45:00-07:00,190.06,190.2,189.86,190.16,77880
2024-05-20T06:50:00-07:00,190.18,190.57,190.18,190.56,91328
2024-05-20T06:55:00-07:00,190.565,190.9,190.56,190.89,97601
2024-05-20T07:00:00-07:00,190.9,191.39,190.81,191.28,221940
2024-05-20T07:05:00-07:00,191.29,191.36,190.97,191.24,112911
2024-05-20T07:10:00-07:00,191.26,191.42,191.17,191.34,137227
2024-05-20T07:15:00-07:00,191.33,191.57,191.28,191.52,103248
2024-05-20T07:20:00-07:00,191.52,191.71,191.34,191.65,82800
2024-05-20T07:25:00-07:00,191.66,191.78,191.52,191.595,96998
2024-05-20T07:30:00-07:00,191.61,191.87,191.595,191.83,103553
2024-05-20T07:35:00-07:00,191.83,191.92,191.7,191.72,71998
2024-05-20T07:40:00-07:00,191.72,191.77,191.44,191.51,63502
2024-05-20T07:45:00-07:00,191.51,191.57,191.32,191.56,67228
2024-05-20T07:50:00-07:00,191.57,191.6,191.39,191.42,40643
2024-05-20T07:55:00-07:00,191.43,191.5,191.39,191.48,35200
2024-05-20T08:00:00-07:00,191.48,191.55,191.4,191.55,37740
2024-05-20T08:05:00-07:00,191.54,191.62,191.47,191.56,34075
2024-05-20T08:10:00-07:00,191.57,191.67,191.56,191.61,31437
2024-05-20T08:15:00-07:00,191.61,191.63,191.34,191.38,31769
2024-05-20T08:20:00-07:00,191.39,191.55,191.31,191.54,33953
2024-05-20T08:25:00-07:00,191.52,191.56,191.17,191.18,42467
2024-05-20T08:30:00-07:00,191.18,191.49,191.09,191.28,51511
2024-05-20T08:35:00-07:00,191.275,191.35,191.22,191.33,16494
2024-05-20T08:40:00-07:00,191.32,191.32,191.17,191.18,21814
2024-05-20T08:45:00-07:00,191.18,191.385,191.16,191.36,30594
2024-05-20T08:50:00-07:00,191.36,191.39,191.27,191.28,23201
2024-05-20T08:55:00-07:00,191.26,191.32,191.22,191.27,18705
2024-05-20T09:00:00-07:00,191.28,191.39,191.27,191.28,22045
2024-05-20T09:05:00-07:00,191.28,191.335,191.22,191.31,22215
2024-05-20T09:10:00-07:00,191.32,191.32,191.19,191.27,25498
2024-05-20T09:15:00-07:00,191.27,191.3,191.21,191.29,25746
2024-05-20T09:20:00-07:00,191.28,191.38,191.11,191.11,29151
2024-05-20T09:25:00-07:00,191.11,191.17,191.02,191.17,25242
