time,open,high,low,close,Volume
1716211800,165.49,168.13,165.24,167.86,271739
1716212100,167.9,168.31,166.92,167.45,142987
1716212400,167.45,168.05,167.25,167.95,122544
1716212700,167.96,168.48,166.64,166.65,140548
1716213000,166.66,166.99,166.39,166.83,118232
1716213300,166.81,167.2,166.26,166.95,124549
1716213600,166.97,167.05,165.87,166.23,109674
1716213900,166.18,166.2,165.66,165.88,98681
1716214200,165.89,165.96,165.48,165.64,109279
1716214500,165.64,165.64,164.82,165.43,146421
1716214800,165.45,165.92,165.05,165.1,81643
1716215100,165.09,165.12,164.59,164.97,119342
1716215400,164.99,165.16,164.48,164.56,75730
1716215700,164.54,165.17,164.5,165.13,54908
1716216000,165.11,165.56,165.01,165.47,65972
1716216300,165.47,166.04,165.47,165.81,103856
1716216600,165.84,166.52,165.79,166.37,86875
1716216900,166.35,166.47,165.88,166.12,89164
1716217200,166.14,166.22,165.9,166.05,36594
1716217500,166.07,166.08,165.71,165.83,45999
1716217800,165.83,166.38,165.81,166.18,55318
1716218100,166.19,166.38,165.78,166.35,41994
1716218400,166.34,166.78,166.24,166.77,66326
1716218700,166.755,166.85,166.5,166.68,38295
1716219000,166.68,166.92,166.67,166.87,59473
1716219300,166.87,167.14,166.8,166.995,63466
1716219600,166.99,166.99,166.5,166.67,35881
1716219900,166.67,166.67,166.36,166.44,38691
1716220200,166.46,166.5,166.03,166.05,41855
1716220500,166.02,166.13,165.83,166.02,43763
1716220800,166.04,166.32,166.02,166.32,37172
1716221100,166.33,166.4,166.22,166.36,18901
1716221400,166.38,166.54,166.35,166.44,30922
1716221700,166.47,166.97,166.47,166.86,51876
1716222000,166.87,166.99,166.77,166.95,29772
1716222300,166.94,167.03,166.79,166.87,34068
1716222600,166.87,167.47,166.82,167.43,57688
1716222900,167.42,167.88,167.38,167.85,61443
1716223200,167.85,168.05,167.7,167.95,76654
1716223500,167.97,168.03,167.78,167.84,35338
1716223800,167.85,168.2,167.85,168.08,47069
1716224100,168.06,168.26,167.97,168.26,41261
1716224400,168.26,168.35,167.82,168.15,52527
1716224700,168.15,168.17,167.82,168.07,41194
1716225000,168.04,168.1,167.81,167.84,35813
1716225300,167.85,168.06,167.825,167.96,24822
1716225600,167.95,168.08,167.56,167.59,43719
1716225900,167.59,167.63,166.85,166.92,77850
1716226200,166.93,167.03,166.82,166.88,35202
1716226500,166.86,166.97,166.65,166.66,36894
1716226800,166.67,166.71,166.38,166.54,40625
1716227100,166.56,166.78,166.54,166.56,26272
1716227400,166.56,166.68,166.42,166.47,31333
1716227700,166.47,166.61,166.37,166.54,24768
1716228000,166.53,166.65,166.33,166.48,27508
1716228300,166.48,166.72,166.07,166.45,46875
1716228600,166.42,166.55,166.31,166.41,21006
1716228900,166.36,166.48,166.02,166.31,28859
1716229200,166.33,166.46,166.24,166.24,16778
1716229500,166.28,166.5,166.27,166.43,17012
1716229800,166.44,166.7,166.42,166.55,24747
1716230100,166.54,166.72,166.5,166.6,21553
1716230400,166.59,166.81,166.59,166.76,21928
1716230700,166.76,166.78,166.47,166.49,20232
1716231000,166.51,166.68,166.5,166.66,17993
1716231300,166.645,166.76,166.5,166.65,24424
1716231600,166.6,166.62,166.23,166.44,36144
1716231900,166.41,166.53,166.22,166.37,25833
1716232200,166.36,166.56,166.31,166.56,25178
1716232500,166.55,166.61,166.2,166.39,36069
1716232800,166.36,166.41,166.2,166.39,20997
1716233100,166.37,166.59,166.32,166.49,21383
1716233400,166.47,166.68,166.42,166.52,31132
1716233700,166.52,166.58,166.33,166.42,30554
1716234000,166.41,166.49,165.85,166.16,69138
1716234300,166.15,166.29,166.04,166.08,29641
1716234600,166.06,166.16,165.77,165.87,70386
1716234900,165.82,166.47,165.75,166.33,75183
1716298200,164.11,165.05,163.9,164.98,175059
1716298500,164.98,164.98,163.41,164.3,150684
1716298800,164.29,165.01,163.9,164.16,111350
1716299100,164.19,164.19,163.11,163.63,149088
1716299400,163.74,164.37,163.45,164.31,87742
1716299700,164.31,164.39,163.45,163.49,73237
1716300000,163.55,163.83,163.49,163.66,50966
1716300300,163.73,163.96,163.32,163.79,79011
1716300600,163.8,163.98,163.29,163.9,68015
1716300900,163.9,164.54,163.8,164.12,78290
1716301200,164.15,164.34,164.07,164.29,39096
1716301500,164.32,164.46,164.12,164.24,44515
1716301800,164.26,164.41,164.08,164.33,45074
1716302100,164.33,164.85,163.8,164.2,81144
1716302400,164.23,164.57,163.87,163.93,47399
1716302700,163.94,164.29,163.89,164.24,42139
1716303000,164.22,164.58,164.22,164.38,42673
1716303300,164.37,164.87,164.37,164.77,36443
1716303600,164.76,164.93,164.66,164.69,39071
1716303900,164.67,164.67,164.42,164.58,36127
1716304200,164.6,164.63,164.27,164.35,28940
1716304500,164.33,164.63,164.29,164.61,30262
1716304800,164.62,164.75,164.46,164.62,38017
1716305100,164.64,164.79,164.33,164.33,45508
1716305400,164.33,164.71,164.11,164.56,61118
1716305700,164.52,164.66,164.34,164.58,31651
1716306000,164.59,164.67,164.36,164.67,25372
1716306300,164.68,164.68,164.22,164.31,23574
1716306600,164.32,164.33,163.99,164.29,61954
1716306900,164.27,164.59,164.26,164.56,28108
1716307200,164.57,165.15,164.57,165.02,56488
1716307500,165.01,165.12,164.86,164.94,34704
1716307800,164.98,165.29,164.98,165.29,34290
1716308100,165.29,165.82,165.29,165.58,97238
1716308400,165.59,165.59,165.29,165.31,40013
1716308700,165.3,165.39,165.2,165.25,26069
1716309000,165.26,165.42,165.14,165.15,29276
1716309300,165.14,165.22,165,165.08,21650
1716309600,165.09,165.19,165.01,165.1,13453
1716309900,165.09,165.45,164.9,165.45,28809
1716310200,165.47,165.47,165.04,165.04,23802
1716310500,165.06,165.4,165,165.17,17611
1716310800,165.15,165.28,164.95,165.23,17748
1716311100,165.22,165.42,165.21,165.28,14079
1716311400,165.26,165.52,165.07,165.27,22229
1716311700,165.27,165.3,165.05,165.19,23097
1716312000,165.18,165.35,165.18,165.27,12767
1716312300,165.25,165.41,165.19,165.36,10143
1716312600,165.345,165.51,165.04,165.15,41606
1716312900,165.14,165.26,164.81,165.165,39090
1716313200,165.18,165.21,164.88,164.9,24307
1716313500,164.9,164.96,164.7,164.81,28447
1716313800,164.82,164.9,164.61,164.69,31032
1716314100,164.7,164.97,164.64,164.86,23401
1716314400,164.87,164.96,164.76,164.78,26371
1716314700,164.76,164.95,164.75,164.82,15504
1716315000,164.8,164.88,164.74,164.78,12573
