time,open,high,low,close,Volume
2024-05-20T06:30:00-07:00,177.42,178.75,177.23,178.56,61727
2024-05-20T06:35:00-07:00,178.56,179.02,178.45,178.95,42919
2024-05-20T06:40:00-07:00,178.93,179.31,178.31,179.31,98036
2024-05-20T06:45:00-07:00,179.32,179.58,179.09,179.13,55281
2024-05-20T06:50:00-07:00,179.16,179.63,179.14,179.51,27923
2024-05-20T06:55:00-07:00,179.5,179.61,179.23,179.45,27021
2024-05-20T07:00:00-07:00,179.48,179.51,179.25,179.46,21066
2024-05-20T07:05:00-07:00,179.42,179.76,179.32,179.51,30979
2024-05-20T07:10:00-07:00,179.47,179.77,179.42,179.5,31384
2024-05-20T07:15:00-07:00,179.52,179.7,179.33,179.53,19866
2024-05-20T07:20:00-07:00,179.51,179.95,179.51,179.87,22666
2024-05-20T07:25:00-07:00,179.9,179.9,179.45,179.48,20501
2024-05-20T07:30:00-07:00,179.51,179.51,179.11,179.15,12986
2024-05-20T07:35:00-07:00,179.18,179.23,179.05,179.14,24723
2024-05-20T07:40:00-07:00,179.14,179.45,179.14,179.24,20832
2024-05-20T07:45:00-07:00,179.24,179.25,178.97,179.04,34718
2024-05-20T07:50:00-07:00,179.06,179.09,178.78,178.96,44205
2024-05-20T07:55:00-07:00,178.94,179,178.65,178.7,9294
2024-05-20T08:00:00-07:00,178.7,178.85,178.6,178.63,17242
2024-05-20T08:05:00-07:00,178.62,178.76,178.59,178.76,14335
2024-05-20T08:10:00-07:00,178.77,178.9,178.6,178.61,34198
2024-05-20T08:15:00-07:00,178.61,178.67,178.44,178.49,43462
2024-05-20T08:20:00-07:00,178.5,178.61,178.36,178.38,13643
2024-05-20T08:25:00-07:00,178.38,178.54,178.27,178.32,16399
2024-05-20T08:30:00-07:00,178.29,178.58,178.25,178.52,10445
2024-05-20T08:35:00-07:00,178.51,178.55,178.32,178.33,4918
2024-05-20T08:40:00-07:00,178.34,178.34,178.12,178.19,11875
2024-05-20T08:45:00-07:00,178.18,178.31,178.14,178.19,8588
2024-05-20T08:50:00-07:00,178.21,178.28,178.14,178.22,7700
2024-05-20T08:55:00-07:00,178.15,178.34,178.1,178.34,10631
2024-05-20T09:00:00-07:00,178.35,178.46,178.34,178.34,14921
2024-05-20T09:05:00-07:00,178.34,178.42,178.29,178.41,6046
2024-05-20T09:10:00-07:00,178.42,178.42,178.15,178.15,5755
2024-05-20T09:15:00-07:00,178.14,178.16,178.06,178.13,7063
2024-05-20T09:20:00-07:00,178.15,178.21,178.01,178.04,5054
2024-05-20T09:25:00-07:00,178.01,178.05,177.93,178,12507
2024-05-20T09:30:00-07:00,177.99,178.01,177.81,177.88,8747
2024-05-20T09:35:00-07:00,177.89,178.02,177.86,178,16921
2024-05-20T09:40:00-07:00,178.01,178.13,178.01,178.02,8863
2024-05-20T09:45:00-07:00,178.03,178.07,177.98,178.01,8113
2024-05-20T09:50:00-07:00,178,178.18,178,178.13,6688
2024-05-20T09:55:00-07:00,178.11,178.29,178.11,178.26,7602
