time,open,high,low,close,Volume
2024-05-20T06:30:00-07:00,469.75,472.4,467.06,472.4,78833
2024-05-20T06:35:00-07:00,472.5,473.16,471.23,471.47,37088
2024-05-20T06:40:00-07:00,471.56,472.38,470.58,470.89,30421
2024-05-20T06:45:00-07:00,470.755,471.4,469.15,469.51,45360
2024-05-20T06:50:00-07:00,469.53,471.38,469.53,471.24,20006
2024-05-20T06:55:00-07:00,471.27,472.5,470.55,472.19,27535
2024-05-20T07:00:00-07:00,472.3,472.54,470.93,470.93,17992
2024-05-20T07:05:00-07:00,471,471.58,470.6,471.58,15429
2024-05-20T07:10:00-07:00,471.51,471.95,470.23,470.5,15589
2024-05-20T07:15:00-07:00,470.42,470.47,469.31,469.5,57990
2024-05-20T07:20:00-07:00,469.52,470.31,469.46,469.91,53107
2024-05-20T07:25:00-07:00,469.91,471.03,469.8,470.45,59846
2024-05-20T07:30:00-07:00,470.39,470.49,469.91,470.41,11683
2024-05-20T07:35:00-07:00,470.49,471.45,470.37,471.27,28993
2024-05-20T07:40:00-07:00,471.33,472.5,471.33,471.81,33379
2024-05-20T07:45:00-07:00,471.81,471.81,470.94,471.41,12137
2024-05-20T07:50:00-07:00,471.45,471.6,470.95,471.34,9977
2024-05-20T07:55:00-07:00,471.38,471.38,470.6,470.89,9034
2024-05-20T08:00:00-07:00,470.89,471.22,470.58,470.78,21645
2024-05-20T08:05:00-07:00,470.75,470.82,470.27,470.73,11702
2024-05-20T08:10:00-07:00,470.7,471,470.45,470.49,17220
2024-05-20T08:15:00-07:00,470.46,470.52,470.09,470.21,12510
2024-05-20T08:20:00-07:00,470.22,470.96,470.15,470.82,9145
2024-05-20T08:25:00-07:00,470.87,471.37,470.81,471.04,19385
2024-05-20T08:30:00-07:00,470.99,471.27,470.92,471.23,22239
2024-05-20T08:35:00-07:00,471.2,471.59,471.19,471.53,10290
2024-05-20T08:40:00-07:00,471.53,471.53,471.15,471.4,12553
2024-05-20T08:45:00-07:00,471.32,472.1,471.29,471.89,37482
2024-05-20T08:50:00-07:00,471.93,472.66,471.7,472.63,17075
2024-05-20T08:55:00-07:00,472.55,473.14,472.12,472.9,24396
2024-05-20T09:00:00-07:00,472.84,473.08,472.52,472.79,11248
2024-05-20T09:05:00-07:00,472.79,472.89,472.37,472.69,14999
2024-05-20T09:10:00-07:00,472.67,472.67,471.71,471.71,13262
2024-05-20T09:15:00-07:00,471.8,471.97,471.58,471.95,4665
2024-05-20T09:20:00-07:00,471.91,472.21,471.59,471.65,5724
2024-05-20T09:25:00-07:00,471.63,471.67,471.4,471.61,4595
2024-05-20T09:30:00-07:00,471.52,471.66,471.28,471.53,6773
2024-05-20T09:35:00-07:00,471.57,471.88,471.43,471.71,5464
2024-05-20T09:40:00-07:00,471.72,472.17,471.72,472.03,7953
2024-05-20T09:45:00-07:00,472.06,472.1,471.1,471.1,7979
2024-05-20T09:50:00-07:00,471.03,471.84,471.03,471.62,8583
